,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
231,232,Doom Eternal,2020,"['Action', ' Adventure', ' Fantasy']",8.7,"In this sequel to  (2016), Hell has taken Earth, so it's up to the Doom Slayer, the ultimate demon-killing machine created by a mystical force, to rip and tear the forces of Hell apart. However, Hell is not alone in this fight.",Hugo Martin,Darin De Paul,Kevin Schon,Jason Spisak,Keith Silverstein,M
232,233,Shadow of the Colossus,2018,"['Action', ' Adventure', ' Drama']",8.7,Remake of  (2005). A young man brings his deceased love to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,Fumito Ueda,Kenji Nojima,Naoki Bando,Hitomi Nabatame,Kazuhiro Nakata,T
233,234,Celeste,2018,"['Action', ' Adventure', ' Comedy']",8.7,"A young woman undertakes the challenge of climbing a mountain with dangerous perils and mysterious powers. Throughout her journey, she is confronted by Part Of Her, her bad side doppelgänger.",Matt Thorson,,,,,E
234,235,XCOM 2: War of the Chosen,2017,"['Action', ' Sci-Fi', ' Thriller']",8.7,Expansion pack for  (2016). Twenty years have passed since world leaders offered an unconditional surrender to alien forces. But at the edges of the world a force gathers once again to stand up for humanity.,Jacob Solomon,Chad Rocco,Brian Bloom,Carlye Pollack,Gary Anthony Williams,
235,236,The Walking Dead: The Final Season,2018,"['Drama', ' Horror', ' Sci-Fi']",8.7,"Clementine and her adoptive brother, AJ, come across a boarding school inhabited by other children with little memory of life before the apocalypse.",Vahram Antonian,Mark Darin,Chris Rebbert,Kent Mudle,Melissa Hutchison,M
236,237,Yakuza 6: The Song of Life,2016,"['Action', ' Crime', ' Drama']",8.7,"Kiryu takes Haruto to the last place Haruka was spotted. There, a new and merciless world of Yakuza awaits the unlikely pair.",Hiroyuki Sakamoto,Toshihiro Nagoshi,Takaya Kuroda,Rie Kugimiya,Tatsuya Fujiwara,M
237,238,Dragon Quest XI: Echoes of an Elusive Age,2017,"['Adventure', ' Family', ' Fantasy']",8.7,"A young boy from a small town learns he is the chosen hero of Yggdrasil, the World Tree, and sets out on an adventure with colorful companions to save the land of Erdrea from an impending darkness.",Takeshi Uchikawa,Masato Yagi,Rasmus Hardiker,Gunnar Cauthery,Lauren Coe,T
238,239,StarCraft II: Legacy of the Void,2015,"['Action', ' Adventure', ' Sci-Fi']",8.7,"After the events of  (2013), Hierarch Artanis works to reunite the Protoss factions in order to retake their homeworld of Auir and stop Amon from destroying the galaxy.",Dustin Browder,Patrick Seitz,Travis Willingham,Rachel Robinson,Tricia Helfer,
239,240,Hellblade: Senua's Sacrifice,2017,"['Action', ' Adventure', ' Drama']",8.7,"Set in the age of Vikings, a broken Celtic warrior named Senua embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.",Tameem Antoniades,Melina Juergens,Steven Hartley,Nicholas Boulton,Oliver Walker,M
240,241,Ori and the Blind Forest,2015,"['Adventure', ' Fantasy']",8.7,"Ori fell from the Spirit Tree in the forest of Nibel during a storm and was adopted by a bear-like creature named Naru, who raised Ori as her own.",Thomas Mahler,Erik Braa,Aeralie Brighton,Andrew Lackey,,E
241,242,What Remains of Edith Finch,2017,"['Adventure', ' Drama', ' Mystery']",8.7,Edith Finch travels back to the Finch family home in Washington to explore her ancestral history after recent family events drive her to learn more about herself and the Finches.,Ian Dallas,Valerie Rose Lohman,Maddie Fitz,Alex Jebb-Quine,Maria Benson,T
242,243,To the Moon,2011,"['Adventure', ' Drama', ' Mystery']",8.7,Follows Dr. Eva Rosalene and Dr. Neil Watts (employed by Sigmund Corp.) as they fulfill the lifelong dream of the dying Johnny Wyles.,Kan Gao,,,,,T
243,244,Alien: Isolation,2014,"['Horror', ' Sci-Fi', ' Thriller']",8.7,"In this first person survival horror adventure set fifteen years after the events of  (1979), Ripley's daughter becomes trapped on an alien-infested space station which holds answers to the mystery of her mother's disappearance.",Alistair Hope,Andrea Deck,George Anton,Kezia Burrows,Richie Campbell,M
244,245,The Walking Dead: Season Two,2013,"['Drama', ' Horror', ' Thriller']",8.8,"Left to fend for herself, Clementine has been forced to learn how to survive in a world gone mad. Many months have passed and she is in search of safety.",Sean Ainsworth,Jason Latino,Dennis Lenart,Eric Parsons,Graham Ross,M
245,246,The Legend of Zelda: A Link Between Worlds,2013,"['Action', ' Adventure', ' Fantasy']",8.7,Link is yet again tasked with restoring peace to the kingdom of Hyrule after a malevolent sorcerer named Yuga captures Princess Zelda and escapes through a rift to the ruined world of Lorule.,Hiromasa Shikata,Mitsuki Saiga,Ayumi Fujimura,Seiro Ogino,Kei Hayami,E
246,247,Black Mesa,2012,"['Action', ' Sci-Fi', ' Thriller']",8.7,Scientist Gordon Freeman navigates through the titular research facility in New Mexico after a botched experiment.,Carlos Montero,Adam Dravean,Cris Mertens,Michael Tsarouhas,Kevin Sisk,
247,248,Assassin's Creed IV: Black Flag,2013,"['Action', ' Adventure', ' History']",8.7,"A video game where you play as sailor, privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century.",Ashraf Ismail,Kate Fleetwood,Ralph Ineson,Stuart Martin,Michael McElhatton,M
248,249,Ni no Kuni: Wrath of the White Witch,2011,"['Adventure', ' Fantasy']",8.7,"Oliver discovers that his mother is not dead, but kidnapped and taken hostage by the White Witch.",Kentaro Motomura,Adam Wilson,Lauren Mote,Louis Tamone,Steffan Rhodri,E10+
249,250,Borderlands 2,2012,"['Action', ' Adventure', ' Comedy']",,"A new group of adventurers arrives on the frontier planet Pandora. They are assassinated by Handsome Jack, the most powerful merc on the planet. One of them survives and with the help of a deranged talking robot seeks loot and revenge.",Paul Hellquist,Lynn Andrews III,Yasemin Arslan,Justin Barad,Christopher Bevins,M
