,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
158,159,Warcraft III: The Frozen Throne,2003,"['Action', ' Adventure', ' Fantasy']",8.9,"Survivors in the reign of chaos try to resolve their differences in a new world, that was shaped after the fall of the Burning Legion.",Nicholas S. Carpenter,Kevin Beardslee,Michael Bradberry,William Bassett,Piera Coppola,
159,160,Eternal Darkness: Sanity's Requiem,2002,"['Adventure', ' Fantasy', ' Horror']",8.9,"Over the course of two millenia, twelve men and women are linked together by an accursed book known as the Tome of Eternal Darkness.",Denis Dyack,Michael Bell,Earl Boen,Cam Clarke,Neil Dickson,M
160,161,The Elder Scrolls III: Morrowind,2002,"['Action', ' Adventure', ' Fantasy']",8.9,"The protagonist travels by Morrowind, eastern province of the Septim Empire in Tamriel. He/she can save it from enslavement or explore for personal purposes.",Todd Howard,Jeff Baker,Jonathan Bryce,Lynda Carter,Linda Canyon,T
161,162,Thief: The Dark Project,1998,"['Adventure', ' Crime', ' Fantasy']",8.9,"Unbeknownst to him, a cynical but witty master-thief Garrett will become a key player in the secret war between the cult of builders and the cult of pagans in a medieval city where certain types of magic and advanced technology exist.",Daniel Thron,Daniel Thron,Stephen Russell,Joffrey Spaulding,Terri Brosius,M
162,163,Undying,2001,"['Action', ' Horror', ' Mystery']",8.9,Former soldier Patrick Galloway receives a plea for help from his old friend and former comrade in arms Jeremiah Covenant.,Brady Bell,Kai Vilhelmsen,Ryan Drummond,Clive Barker,Marc Biagi,M
163,164,Super Mario RPG: Legend of the Seven Stars,1996,"['Action', ' Adventure', ' Fantasy']",8.8,"Just as Mario trounces Bowser for the millionth time, a giant, malevolent sword crashes into Bowser's keep, casting Mario, Princess Toadstool and Bowser far and wide, and breaking seven pieces from the wish-granting Star Road.",Chihiro Fujioka,Yoshihiko Maekawa,,,,E
164,165,The Operative: No One Lives Forever,2000,"['Action', ' Adventure', ' Comedy']",8.9,"A 1960's female spy must battle an eccentric terrorist organization in this classic first person shooter, a stylish and tongue-in-cheek spoof of Cold War era James Bond.",Craig Hubbard,Kit Harris,Jock Blaney,Ken Boynton,John Patrick Lowrie,T
165,166,Warcraft III: Reign of Chaos,2002,"['Action', ' Adventure', ' Fantasy']",8.9,"Years after the fall of the Orcish Horde to the human Alliance of Lordaeron, the remaining humans and orcs find themselves facing a common enemy: the demons of the Burning Legion and their armies of undead monsters.",Nicholas S. Carpenter,Michael Barken,Milton James,Michael Bradberry,William Bassett,
166,167,Xenogears,1998,"['Action', ' Adventure', ' Fantasy']",8.9,Young warrior and artist Fei Fong Wong sets off on a journey that tests his faith as well as courage as he is suddenly thrown into a battle where no one is who they seem.,Tetsuya Takahashi,Hikaru Midorikawa,Tomokazu Seki,Yumi Tôma,Hideyuki Tanaka,T
167,168,Pokémon Red Version,1996,"['Action', ' Adventure', ' Family']",8.9,Play as a young Pokémon trainer trying to catch all 150 Pokémon.,Satoshi Tajiri,,,,,E
168,169,Broken Sword: Circle of Blood,1996,"['Adventure', ' Mystery', ' Romance']",8.9,"George Stobbart, an American tourist in Paris, attempts to unravel a conspiracy when he witnesses a bomb attack on a small Parisian cafe.",Charles Cecil,Rolf Saxon,Hazel Ellerby,Rachel Atkins,David Bannerman,
169,170,EarthBound,1994,"['Adventure', ' Comedy', ' Fantasy']",8.9,"Ness, a boy from Onett, Eagleland, teams up with new friends to defeat an Evil Destroyer named Giygas. During the epic pursuits, Ness and his allies attempt to find the sacred Eight Melodies.",Shigesato Itoi,Shigesato Itoi,Yukari Saito,Hirokazu Koyano,Etsuko Kawano,K-A
170,171,Resident Evil,1996,"['Action', ' Horror', ' Mystery']",8.9,"The RPD are investigating strange cannibalized corpses on the outskirts of the city. The Alpha squad, Jill and Chris, are sent to locate missing team members. While there, mutated dogs cause them to flee into a supposedly abandoned mansion.",Shinji Mikami,Linda,Charlie Kraslavsky,Inezh,Greg Smith,M
171,172,Super Mario Bros.,1985,"['Animation', ' Action', ' Adventure']",8.9,A plumber named Mario and his brother Luigi travel through the Mushroom Kingdom to save the princess from the evil Bowser.,Shigeru Miyamoto,,,,,
172,173,Titanic: Adventure Out of Time,1996,"['Action', ' Adventure', ' Mystery']",8.9,A video game about a british espionage agent sent back in time to a failed mission aboard Titanic. At stake: The fate of the entire world!,Kevin Garrett,Erik Sigvard Quist,Stephanie B. Quist,Lona Livingston,,T
173,174,The Pandora Directive,1996,"['Action', ' Adventure', ' Comedy']",8.9,"In a neo-noir post-WWIII future, an old man hires Tex Murphy, a witty mellow private detective, to find his friend, a former government scientist. The clues lead Tex to a serial killer, NSA and an ominous project called Pandora.",Adrian Carr,Chris Jones,Barry Corbin,Kevin McCarthy,Tanya Roberts,
174,175,Blade Runner,1997,"['Mystery', ' Sci-Fi', ' Thriller']",8.9,"You play a blade runner investigating a series of violent replicant crimes, only to discover far more than you bargained for.",Joseph D. Kucan,Martin Azarow,Mark Benninghoffen,Warren Burton,Gwen Castaldi,T
