,ranking,name,year,runtime,genre,rating,summary,summary_length
225,226,Blade Runner,1982.0,117 min,"['Action', 'Drama', 'Sci-Fi']",8.1,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",133
226,227,The Elephant Man,1980.0,124 min,"['Biography', 'Drama']",8.1,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",218
227,228,Stalker,1979.0,162 min,"['Drama', 'Sci-Fi']",8.1,A guide leads two men through an area known as the Zone to find a room that grants wishes.,90
228,229,Life of Brian,1979.0,94 min,['Comedy'],8.1,"Born on the original Christmas in the stable next door to , Brian of Nazareth spends his life being mistaken for a messiah.",123
229,230,The Deer Hunter,1978.0,183 min,"['Drama', 'War']",8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,154
230,231,Rocky,1976.0,120 min,"['Drama', 'Sport']",8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,171
231,232,Network,1976.0,121 min,['Drama'],8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",187
232,233,Barry Lyndon,1975.0,185 min,"['Adventure', 'Drama', 'History']",8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,123
233,234,Cool Hand Luke,1967.0,127 min,"['Crime', 'Drama']",8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",93
234,235,Persona,1966.0,83 min,"['Drama', 'Thriller']",8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.,94
235,236,Andrei Rublev,1966.0,205 min,"['Biography', 'Drama', 'History']",8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",96
236,237,The Battle of Algiers,1966.0,121 min,"['Drama', 'War']",8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",116
237,238,The 400 Blows,1959.0,99 min,"['Crime', 'Drama']",8.1,"A young boy, left without attention, delves into a life of petty crime.",71
238,239,Ben-Hur,1959.0,212 min,"['Adventure', 'Drama', 'History']",8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",150
239,240,Nights of Cabiria,1957.0,110 min,['Drama'],8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,97
240,241,The Bridge on the River Kwai,1957.0,161 min,"['Adventure', 'Drama', 'War']",8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",222
241,242,On the Waterfront,1954.0,108 min,"['Crime', 'Drama', 'Thriller']",8.1,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",214
242,243,The Wages of Fear,1953.0,131 min,"['Adventure', 'Drama', 'Thriller']",8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",150
243,244,The Third Man,1949.0,93 min,"['Film-Noir', 'Mystery', 'Thriller']",8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",149
244,245,Rebecca,1940.0,130 min,"['Drama', 'Film-Noir', 'Mystery']",8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,150
245,246,Mr. Smith Goes to Washington,1939.0,129 min,"['Comedy', 'Drama']",8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",239
246,247,Gone with the Wind,1939.0,238 min,"['Drama', 'History', 'Romance']",8.1,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,167
247,248,It Happened One Night,1934.0,105 min,"['Comedy', 'Romance']",8.1,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",212
248,249,The Passion of Joan of Arc,1928.0,114 min,"['Biography', 'Drama', 'History']",8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",151
249,250,The General,1926.0,67 min,"['Action', 'Adventure', 'Comedy']",8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",239
