,ranking,name,year,runtime,genre,rating,summary,summary_length
117,118,Citizen Kane,1941.0,119 min,"['Drama', 'Mystery']",8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",138
118,119,M,1931.0,99 min,"['Crime', 'Mystery', 'Thriller']",8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",107
119,120,Metropolis,1927.0,153 min,"['Drama', 'Sci-Fi']",8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",227
120,121,The Kid,1921.0,68 min,"['Comedy', 'Drama', 'Family']",8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",85
121,122,Andhadhun,2018.0,139 min,"['Comedy', 'Crime', 'Music']",8.2,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",137
122,123,Green Book,2018.0,130 min,"['Biography', 'Comedy', 'Drama']",8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,154
123,124,A Silent Voice: The Movie,2016.0,130 min,"['Animation', 'Drama']",8.2,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",158
124,125,Klaus,2019.0,96 min,"['Animation', 'Adventure', 'Comedy']",8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",229
125,126,Gangs of Wasseypur,2012.0,321 min,"['Action', 'Comedy', 'Crime']",8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",145
126,127,The Secret in Their Eyes,2009.0,129 min,"['Drama', 'Mystery', 'Romance']",8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,206
